,jgebbia,georgesoros,historydefined,neuralink,beeple,Grimezsz,thesheetztweetz,elonmusk
2077,We launched our first magazine: http://t.co/6Q9iO1jrbD #airbnb #pineapple,,"A senior sergeant medic tending to the wounds of a Soviet soldier in Voronezh, in 1942. https://t.co/WwhyCoaiHx",,,last jedi is so good i cried on the sidewalk after and then got the flu and slept for 12 hours,"Blue Origin VP Brent Sherwood adds that the team is ""not going to give you a specific number"" on how much they expe… https://t.co/FjRNkgaMPe",
2078,"RT @janemariechen: @forbes interview I just did with @DeniseRestauri abt Embrace, my journey, &amp; all our recent progress! http://t.co/uI1p1V…",,"A gun hidden within a bible, made for Francesco Morozini, Doge of Venice (1619-1694). The owner of the bible could… https://t.co/7m7FQwQBe2",,,@BATHSmusic yeah! its literally perfect during every second,"Executives of the team's companies decline to specify how much each expect to invest in Orbital Reef:

Boeing VP Jo… https://t.co/690LtW4FWj",
2079,"Designers Changyong Park and @PATTERNITWEET discuss urban greenery in @Airbnb's new travel magazine, Pineapple  http://t.co/b4woEt5EcL",,"Robert Wadlow, tallest human in recorded history, with his parents and siblings, 1935 https://t.co/xAXffE5fwe",,,@AngelHaze 🗡🗡🕷🕷🕷🕷🕷🕷🤓,@blueorigin @SierraSpaceCo @SierraNevCorp @RedwireSpace @BoeingSpace @ASU @JanetKavandi Here is a video overview of… https://t.co/WE5khRRQBi,
2080,"RT @firstround: Whether you think you can or can’t, you’re right. — Henry Ford http://t.co/tTqej8F5FD",,Photos of before and after the excavation and restoration of the Great Ziggurat of Ur in Iraq. It was built approxi… https://t.co/wM6FXtKKiN,,,@exclaimdotca @JanelleMonae @4AD_Official 😛😛😛,"Blue Origin is partnering with Sierra Space, Boeing, Redwire, and Genesis Engineering to build a space station near… https://t.co/EnKNfYJyVN",
2081,RT @designairs: Come Join the Party http://t.co/5862STzPnK,,"Electric Charging, 11th July 1917. https://t.co/n2VmKWCcX0",,,"RT @ACLU: What

if

one

party

controlled

two

branches

of

government

and

you

wanted

to

protest

them

but

the

page

you

were…","ABL Space raised another round of funding, this time from existing investors (which include Fidelity and T. Rowe Pr… https://t.co/xJgniVuWVy",
2082,Calling designers - Airbnb's design 2015 fellowship now open for applications. Come Join the Party http://t.co/pYiavn9Gmb,,"Karl X Gustav's hat that he wore at the coronation of Queen Kristina of Sweden in 1650. Velvet, embroidered in gold… https://t.co/BZKvdBw0Vt",,,@cynthiavance @InvictaFights ill literally come whenever i love invicta,RT @moribajah: I’m honored and extremely excited to join Privateer in this journey 🙏🏾💙Steve Wozniak's stealthy space startup Privateer hire…,
2083,"RT @sco: The Airbnb eng blog profiled me today. This is an exciting place to be now, and we're hiring great people. Hit me up. http://t.co/…",,Mrs. Ada Schilling with rifle circa 1915. https://t.co/ANiA6SnsAZ,,,"downloaded bail bloc onto my comp. mines crypto currency 2 pay ppls bail; SO cool! &amp; so easy. ""If 5000 ran Bail Blo… https://t.co/1v4NpKJlYI",@Firefly_Space @NASA @NASAMoon Firefly adds that the 2023 mission is expected to be the first of annual lunar surfa… https://t.co/iMplEJnREZ,
2084,How Airbnb Brought Two Berlin Wall Border Guards Back Together http://t.co/W62Iwju5nx,,"Dad showing off his skill to the surprise of his little daughter in Melbourne, Australia, 1940s.

Photo by Steve Gi… https://t.co/93eMUa5lkY",,,@Jessicaveronica nice and demonic,"Firefly Aerospace announces NASA completed the critical design review of the company's Blue Ghost lunar lander, whi… https://t.co/cMm7e0Jg7Y",
2085,RT @risd_gd: Airbnb is looking for a Head of Graphic Design. And graphic design interns. And everything in between. http://t.co/l57H8u7tB5,,"Two women carrying water, Egypt, 1880. https://t.co/Sv9c9lkRzk",,,@Jessicaveronica yo i'm not kidding hahaha,RT @Free_Space: Roscosmos says @spacex has acquired enough flight experience for agency to fly cosmonauts on Crew Dragon and expects to dis…,
2086,Kevin Starr: Lasting impact http://t.co/pVqyWcEbKw via @poptech,,"Johnny Cash before going on stage at Folsom Prison, 1968 https://t.co/SJoSjrEwwF",,,"@deejayndn @elite_gz yeah play thru it more than once, the multiple versions are where it gets crazy","The Airbus Ventures funding comes as an extension on ispace's round in August, which put the company's total fundin… https://t.co/UKP0j82Iev",
2087,RT @theinvisibledog: The hybrid business model of The Invisible Dog  / How @Airbnb helps us to fund our programming @hyperallergic http://t…,,"2 year-old Elvis Presley with his parents, 1937 https://t.co/qsCp4COoHO",,,@deejayndn @elite_gz dopest*,"Japanese lunar lander company ispace raised additional funding from Airbus Ventures, bringing the venture's total c… https://t.co/nnFDgM0G4D",
2088,"25yrs after the fall, The #BerlinWall brings two unexpected people together. http://t.co/tWDKlBTs1s #BelongAnywhere",,"Roman bronze ring with stamp with, in abbreviated and mirrored form, the name of Marcus Fabius Rufus. Found in Pomp… https://t.co/ZX8pePWXBc",,,@deejayndn @elite_gz maybe the dopers ever,RT @jeff_foust: This is the “late breaking news” plenary on the last day of the conference. He’ll also be on a panel with several professio…,
2089,@sailorhg it worked,,"A snake sculpture from U Thong District in Thailand. 6th-11th century CE. 

 Bangkok National Museum https://t.co/YdVxCOVrxw",,,@ChoqueAsa yeah they r fucked which is why im like pull them out and put better ones in,RT @SpaceX: Gateway to Mars https://t.co/cej13QdyJP,
2090,RT @Mildenhall: Next week @airbnb will launch our 1st culturally significant campaign. A truestory about The Berlin Wall. #thecontext http:…,,"An old photo showing a party at the summit of the 4600-year-old Great Pyramid of Giza, by life magazine, 1940's https://t.co/3UHgK1AtPq",,,@Chase_Duncan99 ugh i hope to god so in every dream,RT @elonmusk: Starbase under construction https://t.co/cFXJKvYJjY,
2091,"The Berlin Wall fell 25 years ago, but Germany is still divided http://t.co/OPYGxksFgc",,"Lawrence of Arabia's Arabe robe, white silk and golden-embroidered, 1916 https://t.co/xc1hntnRKt",,,@hazeharmony its just cosmetic for now but if kidnapped good for surprise bite and escape,"Whitmeyer says ""there is different ways to look at the cost of"" the Artemis 1 mission, and declined to give a numbe… https://t.co/Gok3vA0jNJ",
2092,RT @Airbnb: It’s @NYCMarathon day! Eat your Wheaties. Do warm-ups. High-five a stranger. AND GOOD LUCK EVERYONE! #GoTheExtraMile http://t.c…,,"A man takes a selfie using a stick of wood to activate the camera, 1957 https://t.co/rRlhthhoxI",,,@lasagnabby haha,"Artemis 1's potential launch windows:

1 - Feb. 12 to Feb. 27
2 - Mar. 12 to Mar. 27
3 - Apr. 8 to Apr. 23",
2093,@wynwyn just discovered your blog - great illustrations,,Mobsters hide their faces at Al Capone's trial 1931. https://t.co/Q9Ur7ypFee,,,"im about to go to the dentist and ask her to give me permanent vampire veneers , i hope it works out","@elonmusk Is SpaceX adjusting/improving how the ""Starbrick"" tiles are attached, given that a couple shook loose during static fire?",
2094,Go Giants! #nextYearBraves,,"Beautifully decorated back of a French ceremonial armor, circa 1575–80. https://t.co/eVnvkbPUpw",,,@abra @stanazon_prime ayay,"Honeycutt says he's seen the SLS team ""go through many learning experiences and lessons learned"" during assembly.… https://t.co/rYtdb8q2Wo",
2095,@wynwyn @joulee nice,,"Garden frescoes from the House of Golden Bracelet. 14—37 CE, Archaeological Park of Pompeii https://t.co/fNE1HHSYwo",,,@TessaThompson_x hiiii o man u destroyed my mind -  the epic slow mo valkyrie battle scenes were so o sick,"RT @mirikramer: NEW: NASA’s next huge rocket — designed to get people to the Moon — won’t make its debut until 2022.
I spoke to the agency’…",
2096,RT @rachelbotsman: Excited by the partnership between @Airbnb &amp; AU Victorian government to use #collcons to reimagine emergency response ht…,,Men waiting in a line for the possibility of a job during the Great Depression. https://t.co/R5u5bbBJjm,,,@JanelleMonae @TessaThompson_x @TaikaWaititi need a valkiryie headline movie asap,"Whitmeyer says that NASA plans to do a wet dress rehearsal of SLS ""early next year,"" before returning to the Vehicl… https://t.co/8OBdDR5oBb",
2097,Cloth Is Where Instagram And Your Closet Collide http://t.co/i1eIwmmbZU via @techcrunch,,1980s Computer Ad https://t.co/5bMyk0PbGu,,,"@marll0 no, im *mostly*, but im open to eat bugs and lab grown meat.  i do not refer to myself as vegan, but journa… https://t.co/VlAppOu1V0","NASA update on its SLS rocket and Orion spacecraft after completing stacking, with:

-NASA deputy assoc. admin Tom… https://t.co/NcE4OkY99D",
2098,@Margaret__Zhang yes. Where?,,"Public urinal, Paris, 1875.⁣ Structures like this could be found on the streets of Paris in the late 19th century. https://t.co/6JyEMaqS6D",,,@McKelvie learning about bug protein! i hear its the future,".@RRAuction announces the sale of a number of Apollo era items:

Apollo 17 - Gene Cernan's checklist: $744,994
Apol… https://t.co/ZzvQK95XCP",
2099,RT @piers_fawkes: At @PSFK we are looking for junior to mid-level video editors for virtual network of contributors. Can be based anywhere.…,,"A crowded Huntington Beach, California, during the Oil boom of 1928. https://t.co/En2BM3GBXt",,,the ants infested my granola so i ate them.  they had no taste,RT @planet: A record number of ships sit idle as they wait to enter the ports of Los Angeles and Long Beach amid major disruptions to the g…,
2100,RT @hiponavem: Learn more on how #AirbnbNYC guests are helping #smallbusinesses across #NYC https://t.co/aSLUnbw5oP http://t.co/SIZXzgxkeT,,Photo of Hagia Sophia by James Robertson (1857) https://t.co/ISSmzrbRWW,,,soundtrack 4 2nite 🎼🎼🎼 https://t.co/dadv9gRyuj,@elonmusk @SpacePadreIsle Has the FAA given SpaceX any guidance on timing of a decision on the environmental assessment?,
2101,"A Google Exec Just Skydived 136K Feet, Smashing the World Record | WIRED http://t.co/uXyQWsuAxo",,"When airlines served a full meal in flight, 1958 https://t.co/9r2crW2khM",,,"#tinyhousewarriors building houses in path of km pipeline as protest. donate: https://t.co/xZiF9J8jg1  
🖤
more info… https://t.co/jMfjDwuXIq",@JessicaTetreau And here's the latest on SpaceX's preparations for the first orbital Starship launch: Ready for an… https://t.co/XMe7Y6LnaI,
2102,"""The End Of Apps As We Know Them"". Great article. http://t.co/N3EcFftghb via @intercom",,"Winston Churchill with a Tommy gun, July 31, 1940 https://t.co/tYiVRKpgFw",,,^_^ i love this 🖤🖤🖤 https://t.co/8Ldd75rHjI,I love that we live in an era where astronauts tweet memes from orbit: https://t.co/y6ewyji17v,
2103,@victoriaalissia Thanks! Passed it along to her.,,"Coney Island during a heat wave, NY, USA, 1936. https://t.co/PUR8vyJtcO",,,@guerrerhoe its why i haven't ever played it live lol,"The FAA's hearings featured a dichotomy of opinions from 120 speakers. 

One of note was Brownsville city commissio… https://t.co/qffpXhz26H",
2104,@hazelbrown @lfnco thx,,"Venice, Italy, 1950. Photograph by David Seymour. https://t.co/wxGD0g4RuF",,,@guerrerhoe its a weird tuning that i improvised it's actually a huge issue for me as i can't figure out the chords either,"Last night SpaceX static fired a Starship with a Raptor vacuum engine installed for the first time, and also perfor… https://t.co/f873J2K9y2",
2105,Great opportunity for designers - Bridge 4 applications close today! http://t.co/Yu6RVmftq2,,Tearing Lodge and Wife. Piegan indians. https://t.co/rJDwLDpH9S,,,RT @Mister_Spoon: A giant insect ecosystem is collapsing due to humans. It's a catastrophe https://t.co/oHAnGH2t91 #Anthropocene #Insects @…,"Catch up on a busy week of Starship news:

SpaceX test fired prototype ship 20 after the FAA held public hearings f… https://t.co/ghJmdmF4LE",
2106,A friend is seeking a typographer to design a custom typeface for her client. Inquire within.,,"A mask found in Mycenae, often erroneously known as the Mask of Agamemnon. 16th Century BCE, Athens National Museum. https://t.co/6ycFcgLi8O",,,@LYNNGVNN @ThisIsPVRIS @teganandsara i love this soooonfnfffggf,"Unsurprisingly, the court denied my request yesterday for a transcript of the oral arguments given that the case is sealed.",
2107,@jasonfried I know right? Now how to order one to try it...,,"Pangolin scale armor, presented to Albert Edward, Prince of Wales, during his voyage to India in 1875-76. https://t.co/5iQcVuNkyD",,,@teganandsara @ThisIsPVRIS @yelyahwilliams @SaraBareilles @TheRyanAdams @whereisMUNA @weareshura @ShamirBailey… https://t.co/FYvuOl6tXG,RT @SpaceX: First firing of a Raptor vacuum engine integrated onto a Starship https://t.co/uCNAt8Kwzo,
2108,"Tea kettles are loud, slow, ugly, and wasteful. This kettle solves all those problems. http://t.co/SA6nCgvKUR by @DrCrypt via @FastCoDesign",,Climbing the pyramid of Cheops around 1900 https://t.co/nyq7mch6fa,,,🕷 https://t.co/48rMmAJCLt,RT @JohnMontenegro: Thanks @thesheetztweetz! We at #SSP21 team Lunar had such a great time making this project. Maybe some of these ideas m…,
2109,Beautiful Dutch bicycle: http://t.co/7ZnJ4JMw9Q by @DrCrypt via @FastCoDesign,,"A circular book dating back to 1590 CE held by the University of Forsberg, Germany. https://t.co/bpOYchLh7X",,,@AyeshaASiddiqi come back to la so w can hang 🐋🐋🐋,"That’s all I can see from publicly available information for now, since the hearing was sealed, but I’m working to find out more.",
2110,RT @Zhanna: Airbnb guerrilla marketing or just a dirty rubber band on the street? This city eats my brain sometimes o_O http://t.co/JRUguNA…,,"A Ukrainian-American family celebrates the death of Stalin, 1953 https://t.co/nKZi2iYeGw",,,@kilvmaim yes yes😛🗡 faė subculture is very illustration oriented,"Today's hearing was about 6 hours, per court filings. https://t.co/avMTZhfHmy",
2111,RT @SFPublicLibrary: City librarian with one city one book author Armistead Maupin @Airbnb http://t.co/ULQzZJwH1D,,"Hohenzollern Castle was built from 1846-67 for Prussian King Frederick William, on the site of his ancestral seat https://t.co/DlyPG7vS3S",,,@spookydiane yes true will do soon!,An @ISU_SSP team submitted a proposal for IAC 2021 that studies using SpaceX's Starship as the foundation of a luna… https://t.co/ZbLtBMg4p7,
2112,Airbnb is officially legal in San Francisco via @FortuneMagazine http://t.co/58Rvqsx4bI,,A digital reconstruction of the Roman Emperor Tiberius by Haround Binous. https://t.co/ypptG4kLOA,,,@oblivi_n got my best ever bops coming,"RT @SciGuySpace: Spoke with Tom Markusic of Firefly. Said he's super proud of his team, and they're working toward a second Alpha launch. A…",
2113,"RT @EnriqueAllen: What do Bach, Picasso and @MattStevensCLT have in common? How Rules and Repetition Inspire Creativity http://t.co/l1CYo0V…",,"Rush Hour, New York City, 1909. https://t.co/3C4DbFpR5s",,,yeahhh yeah 🕸🕸🦋🦋 thanks anna c 🐇 😛 https://t.co/F5VnzYpRLS,"For background, the ""Truth in Testimony"" forms include information like fiduciary relationships, federal grants/con… https://t.co/wOGlecLyON",
2114,How you make decisions says a lot about how happy you are http://t.co/guAr2KfILu via @WSJ,,"A man sells goldfish in baggies tied to a tree branch in Beirut, Lebanon, February 1983. https://t.co/K0qOxub3C1",,,@nbabybell no!,"For what it's worth, the witnesses in today's hearing did not file disclosure forms (e.g., the House's ""Truth in Te… https://t.co/5Dh8TbC89O",
2115,@Margaret__Zhang gorgeous,,"1870s, Karnak: The Grand Temple. https://t.co/R43b33aq6J",,,@cancercrunch yeah! we're switching out the merch store at the moment haha we were hoping y'all wouldnt notice,York Space tells me the new expansion facility represents a $56.8 million investment by the company. https://t.co/Qk86tNZcWX,
2116,Start Helping the Helpers http://t.co/wsjVMDJg7K,,"Relief of Akhenaten as a sphinx, c. 1349-1336 BCE, Museum of Fine Arts, Boston. https://t.co/k8lebopdjw",,,@arca1000000 visually and musically,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space… https://t.co/Gons3XEuTl,
2117,"@TOsimon @Airbnb double check the currency settings at the bottom of the screen. One is set in USD, the other is in CAD.",,Salvador Dali jumping rope. https://t.co/bLUvlN69gY,,,@arca1000000 i feel this way about everything you do ur just out here on a plane no one else can touch 🖤🖤🖤🖤🖤🗡🗡🗡🗡🗡,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space… https://t.co/GuV7lkBpXA,
2118,RT @brewsterapp: We're thrilled to be working with @lenovo and @aplusk to make your contacts 'just work' on Yoga Tablet 2 Pro! http://t.co/…,,"Serving a snack on Scandinavian Airlines flight, 1969 https://t.co/UCLt568TM8",,,RT @rihanna: --- @realDonaldTrump ----&gt; https://t.co/fE1Rd3bMDp,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space… https://t.co/S10YiTxSgT,
2119,Do you live between Boston and New York? Make Simon's dream a reality. This guy is amazing! http://t.co/O4QJ1OwxMt #airbnb,,"Vase, Giovanni della Robbia, 1500, The MET https://t.co/jtr0md0ENv",,,"RT @JasonKander: AMERICAN CITIZENS HAVE NO WATER TO DRINK.

@realDonaldTrump, fix this! https://t.co/w3eBIMJ4EM",@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space… https://t.co/ZoICTdZO3G,
2120,Airbnb partners with the Greater New York Red Cross to promote fire safety and prevention: http://t.co/6bt2hLjTdi,,"Red Bird, elderly Comanche woman, 1911 https://t.co/In4NXnFdyY",,,@circumambent @rafzsz maybe! im not looking to book shows yet until im a bit closer to being done my album but hope… https://t.co/5w7955rD2R,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space… https://t.co/mRf688O4IT,
2121,RT @designairs: It's a HOT debate! @DesignDebaters @brooklynbeta http://t.co/73jPsV8Oji,,"A 2000-year-old green serpentine stone mask discovered near the base of the pyramid of the Sun, Teotihuacan, Mexico. https://t.co/XSYSjWGXuy",,,@rafzsz trying to only have a couple bigger artists on at a time hence the lack of lana et al for now,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space .… https://t.co/3f1iWf5hv1,
2122,@pasql that's not true. clearly they're either booking rooms or making music.,,"A 12th century grave of a Crusader, Skeabost, Isle of Skye, Scotland. https://t.co/mM09wbOfln",,,@Aseulmusic 🖤🦋 hihi! love ur tunes!,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal @Axiom_Space Ditt… https://t.co/YouODwldPb,
2123,"Wishing the leaders, dreamers, makers, &amp; thinkers at @brooklynbeta a magic and memorable next 3 days. #brooklynbeta #willbethereinspirit",,"A Peruvian woman and her baby in the Andes, 1930s. https://t.co/s68l4X3QZs",,,@cciliaduenaz sure i just need to get the login info probably from my manager,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Dittmar adds that… https://t.co/BBwUM6h4LE,
2124,Today Show covers Airbnb's growth with business travelers: http://t.co/5Zzt3Dx6Bk,,"Right Gauntlet for King Philip of Spain (1527-1598), Worcester Art Museum. https://t.co/CP1GhIqEfc",,,@sexvmaim i produced  the @AristophanesTW track on there 🖤,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Bridenstine: NASA… https://t.co/TiJ6mGUYZO,
2125,RT @brewsterapp: Proud to share our biggest release since launch with Streaming and 'Contacts As A Service' - http://t.co/RxXIMvqPGc,,Women’s archery at the 1908 London Olympics. https://t.co/zv7rhITjvi,,,@thetrxye1975 ^_*,RT @INTELSAT: Intelsat Announces Planned Retirement of Stephen Spengler as Chief Executive Officer: https://t.co/cOkvHKuLed,
2126,RT @elonmusk: About time to unveil the D and something else http://t.co/qp23yi59i6,,"Amazing facade detail of the Red Fort in Agra, India. https://t.co/f96asX9SQE",,,@bussy100000 if i find out its imminent i will leak everything so hopefully,.@JimBridenstine's testimony has some fans: https://t.co/4a0c3b0Kd3,
2127,"The Feast Worldwide comes to San Francisco to talk ""Passion &amp; Pasta"" in collaboration with @eatfeastly. More info: http://t.co/OgiHvk7i3a",,"A Great Depression Christmas dinner of cabbage, potatoes, and pie in the home of Earl Pauley, near Smithfield, Iowa… https://t.co/bB2dE9Yi8z",,,did a drawing for it 🖤 https://t.co/zDut7Uhbcr,"@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Dittmar: ""There's… https://t.co/hQ1In9QMkj",
2128,Airbnb Commitment will help AmeriCorps members  http://t.co/fNYsy96YM8 via @ServiceNation,,"The Carta Marina, made by Olaus Magnus in the 1530s, is one of the first accurate maps of Scandinavia and the Baltic https://t.co/4YNAxH2O3L",,,"started a new playlist gonna update semi regularely 🗡😜

https://t.co/yhyJsLa5gD

https://t.co/mfvtLiAMkW",@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Hickenlooper: Whe… https://t.co/LwLJo5gGJY,
2129,RT @lottanieminen: Fun video by @lernert_sander for Cos! http://t.co/PLVUSLXQGH,,"Temple of Philae, during the annual flood of the Nile. https://t.co/MFD9dL2qLh",,,@elite_gz cc @BATHSmusic,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Bridenstine: Even… https://t.co/ACWktigBQ8,
2130,"London advances with Seoul, Portland, Amsterdam... UK government poised to embrace the sharing economy http://t.co/2kHXV3fO94 @Telegraph",,"Ritual dagger (Phurbu) made from carved and painted wood, with gilding and ivory. Tibet, c.13-14C CE. From Ashmolea… https://t.co/ihdcROEpZ8",,,who fears death might literally be my favourite book and now its the next hbo sci fi fantasy show im losing my miii… https://t.co/lgoAV4ngmb,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Hickenlooper: Who… https://t.co/ao4q3OuY0y,
2131,"RT @ChipConley: Enjoyed receiving this from an Airbnb guest who was welcome by his host with this lovely Scrabble message in Bath, UK http:…",,"Siena Cathedral is one of Italy's great medieval monuments, constructed in the 13th century https://t.co/baatFLLnIP",,,"@cucetaloca close ur eyes, eventually ur mind will fill w images to draw","@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan @SenBlumenthal Gold: ""I know it'… https://t.co/ccPabob0TC",
2132,"RT @ChelseaClinton: Marc and I are full of love, awe and gratitude as we celebrate the birth of our daughter, Charlotte Clinton Mezvinsky.",,Bear’s Belly – Arikara Native American – 1909 https://t.co/zAeeSgQwUn,,,https://t.co/Cldqm0jGU6,"@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan .@SenBlumenthal: ""There is no re… https://t.co/82jVkRRoZ4",
2133,@Heather_R http://t.co/8fVCLbRJx3. I am 100% biased.,,"Stunning detail on the statue Ugolino and His Sons, 1865–67. Sculpture Jean-Baptiste Carpeaux https://t.co/9oM8MQle6j",,,"@flumesmusic @billieeilish omg i know that artist, i love her song ocean eyes i didn't realize she had such amazing hair hahah",@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell @SenatorLujan Lujan: Will we fall behind other… https://t.co/t9nVxAJAYp,
2134,"RT @steveportigal: How Might We! #EuroIA 

I told my workshop folks they would hear that very phrase very soon. #HMW",,Women demonstrating against British occupation during the Egyptian Revolution of 1919. https://t.co/iOGcx1DnZ3,,,@FireyCoals @nardwuar their music is very diverse if u dive in u will prob find stuff u like.  their production is seriously extra sometimes,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell .@SenatorLujan asks if NASA should expand its… https://t.co/kMGls7vd1P,
2135,RT @cjam: But my gracious Mysore @airbnb host is sending his driver to make the 5 hour drive down. Grateful for small miracles.,,"Prometheus Bound - Nicolas-Sébastien Adam, 1762 https://t.co/WEcRwOqxvg",,,@flumesmusic ur hair is... ..... 🦋🕷a+++++,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Bridenstine gives the example of the FAA's reg… https://t.co/J8aoX6KAW3,
2136,"RT @designairs: Meet Leejay, our Presentation Designer and former beatbox champion. http://t.co/4M5PPc9bHE",,"RT @ST0NEHENGE: Sunrise at Stonehenge today (17th February) was at 7.16am, sunset is at 5.26pm 🌥️ https://t.co/Fwx2SXOVkP",,,@Oobermate shaming ppl for being inquisitive is useless and discouraging.  i maintain childlike wonder at the existence of magnets also,"@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Gold: ""I don't think the UN is the entity to d… https://t.co/2KpMw5okiL",
2137,"RT @mikecurtis: Rebrand an entire app, leak nothing, continue shipping while it's being rebranded. How Airbnb's iOS team did it. http://t.c…",,"A Bedouin man on top of a camel, Suez, Egypt, 1876. https://t.co/qCQsw4WWod",,,i don't understand the mockery of icp.  its just good fucking music.  always has been.  &amp; the lore is cool,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Bridenstine: The race to launch mega-constella… https://t.co/LY0knzBqHs,
2138,"Next up, Obama! #CGI2014 http://t.co/S54TgvkeIx",,"“The head of Medusa”, Art Nouveau brooch, c. 1900. https://t.co/GDsItmobMW",,,@amndasuthwrth accept nocturnalism it's good for inventorz,@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Bridenstine again highlights mega-constellatio… https://t.co/XKLpFuaNzN,
2139,Bill is rocking the house! #CGI2014 #airbnb http://t.co/IqBDbY5Ukl,,"Venice, Second World War https://t.co/PF1ZfRTanC",,,@miragonz hahahahahaha,"@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Gold: ""Public-private partnerships in America… https://t.co/wIeZs9Ag3z",
2140,RT @ChelseaClinton: Our service year #CGI2014 commitment @Voices4Service @NCoC @ServiceNation @FranklinProj @LuminaFound @Cisco @Airbnb htt…,,"A golden Roman helmet, circa 4th century CE. https://t.co/oI8Xb0uGer",,,"RT @ciriacisbeth: A thread of what #DACA is and isn't because #DACA works and it is nothing close to a ""free ride.""","@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Cantwell: ""No one's against companies going ou… https://t.co/FsVyXdpIjR",
2141,In London? Don't miss the Airbnb installation in Trafalgar Square. http://t.co/H577ozIRD8 #LDF14 #Airbnb http://t.co/EOkk23jZMJ,,A 1947 wedding dress made from the parachute that saved the groom's life during World War Two. https://t.co/cR5SIOLOXe,,,"RT @imraansiddiqi: 1) Use the HT #SaveRohingyaMuslims
2) Donate to the many orgs giving aid
3) Contact your elected officials and ask them…","@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Cantwell: ""I want a very strong NASA oversight… https://t.co/vdkrGvSZJt",
2142,Home is when you feel comfort to take your shoes off #studioilsehome #LDF14 #airbnb,,"Residents of West Berlin show children to their grandparents who reside on the Eastern side, 1961 https://t.co/jo588GEUjX",,,@USEmbassyBurma please ask burmese gov to stop military attacks on Rohingyas/ ask Bangladesh to welcome refugees with no where to go !!!,"@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Sanders: Companies are ""increasingly capable,""… https://t.co/9vJNTgM0ZF",
2143,RT @L_D_F: Good morning London! Look what's happening in #trafalgarsquare... #LDF14 @Airbnb #Airbnb http://t.co/MSJdYuSUoP http://t.co/M5I8…,,"The Lewis Chessmen are an amazing set of walrus ivory pieces made in Norway over 800 years ago, discovered on the I… https://t.co/rtN7gwmtz9",,,@elite_gz yeah truth spoken here,"@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Cantwell: ""It's frustrating to me to see the s… https://t.co/6uqPXuYJgU",
2144,“How renting my place on airbnb is funding my startup.” by @GregMuender https://t.co/zzI6P2pAzV,,"Construction of the Eiffel Tower. July, 1888 https://t.co/2VwXkZozHY",,,"@rafzsz not sure, I listen to frank ocean when I draw so I always listen to all his songs at once.  its more of an overall experience",@JimBridenstine @DittmarML @Hickenlooper @SenLummis @SenatorCantwell Bridenstine responds by pointing to the succes… https://t.co/CpVBhqyKkV,
